model,accuracy,precision,recall,f1,roc_auc
RandomForest,0,971777,0,971820,0,971777,0,971754,0,995862
Logistic,0,940299,0,940299,0,940299,0,940241,0,986867
J48,0,958028,0,958116,0,958028,0,957976,0,984516
